Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1073386.3","Bacteroides fragilis HMW 610",,1073386,"131567;2;1783270;68336;976;200643;171549;815;816;817;1073386","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis HMW 610","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","HMW 610",,,,,,,,,,,,,,,,," ",,,"Good","2012-09-17T00:00:00Z",,,"PRJNA71525","SAMN02463952","GCA_000297695.1",,"AGXQ00000000","Broad Institute","WGS","Illumina","169x","allpaths v. R41370",,,42,5523030,43.3,6,380076,67,13,,4892,99.3,98.9,,100,,,,,,,,,,,,,,,,,,,,,"Reference genome for the Human Microbiome Project.","2014-12-08T22:10:22.447Z","2015-03-16T03:17:09.594Z"
"1073387.4","Bacteroides fragilis HMW 615",,1073387,"131567;2;1783270;68336;976;200643;171549;815;816;817;1073387","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis HMW 615","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","HMW 615",,,,,,,,,,,,,,,,," ",,,"Good","2012-09-17T00:00:00Z",,,"PRJNA71527","SAMN02463953","GCA_000297735.1",,"AGXR00000000","Broad Institute","WGS","Illumina","139x","allpaths v. R41370",,,43,5358243,43.5,6,352781,69,17,,4734,99.7,99.3,0.7,100,,,,,,,,,,,,,,,,,,,,,"Reference genome for the Human Microbiome Project.","2014-12-08T22:10:22.467Z","2015-03-16T03:17:09.594Z"
"1073388.3","Bacteroides fragilis HMW 616",,1073388,"131567;2;1783270;68336;976;200643;171549;815;816;817;1073388","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis HMW 616","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","HMW 616",,,,,,,,,,,,,,,,," ",,,"Good","2012-09-17T00:00:00Z",,,"PRJNA71529","SAMN02463954","GCA_000297755.1",,"ALOB00000000","Broad Institute","WGS","Illumina","142x","allpaths v. R41370",,,25,5416584,43.4,3,565350,57,17,,4845,99.5,99.1,,100,,,,,,,,,,,,,,,,,,,,,"Reference genome for the Human Microbiome Project.","2014-12-08T22:10:22.491Z","2015-03-16T03:17:09.594Z"
"1339270.3","Bacteroides fragilis str. I-1345",,1339270,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339270","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. I1345","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","I1345",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206101","SAMN02314404","GCA_000598785.1","SRR949619","JGEW00000000","IGS","WGS","Illumina","60x","MaSuRCA v. 2.0",,,77,5323626,43.5,7,215678,70,15,,4666,99.6,99.5,,100,,"stool",,"2012",2012,,"USA",,"United States",,"Bos taurus","Cow",,,,"Nonhuman Mammal",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:23.203Z","2015-03-16T03:17:09.594Z"
"1339271.3","Bacteroides fragilis str. J-143-4",,1339271,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339271","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. J-143-4","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","J-143-4",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206102","SAMN02314403","GCA_000598525.1","SRR949618","JGDH00000000","IGS","WGS","Illumina","150x","MaSuRCA v. 2.0",,,270,5521387,43.1,23,76735,95,27,,4888,99.3,98.6,0.9,100,,"stool",,,,,"Bangladesh","Asia","Bangladesh",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:23.212Z","2015-03-16T03:17:09.594Z"
"1339272.3","Bacteroides fragilis str. J-38-1",,1339272,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339272","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. J38-1","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","J38-1",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206103","SAMN02314412","GCA_000598645.1","SRR949839","JGDV00000000","IGS","WGS","Illumina","90x","MaSuRCA v. 2.0",,,120,5144743,43.4,9,166631,79,22,,4429,99.7,99.5,0.3,100,,"stool",,,,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:23.221Z","2015-03-16T03:17:09.594Z"
"1339274.3","Bacteroides fragilis str. A7 (UDC12-2)",,1339274,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339274","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. A7 (UDC12-2)","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","A7 (UDC12-2)",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206105","SAMN02314413","GCA_000598985.1","SRR949840","JGEK00000000","IGS","WGS","Illumina","70x","MaSuRCA v. 2.0",,,87,5201070,43.2,7,198514,72,17,,4509,99.8,99.4,,100,,"stool",,,,,"Thailand","Asia","Thailand",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:23.136Z","2015-03-16T03:17:09.594Z"
"1339275.3","Bacteroides fragilis str. Ds-233",,1339275,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339275","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. Ds-233","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","Ds-233",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206106","SAMN02314414","GCA_000598805.1","SRR949841","JGDG00000000","IGS","WGS","Illumina","110x","MaSuRCA v. 2.0",,,557,5016071,44,56,27769,71,22,,4251,99.6,99.4,0.3,99.7,,"stool",,,,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:23.193Z","2015-03-16T03:17:09.594Z"
"1339276.3","Bacteroides fragilis str. DS-208",,1339276,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339276","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. DS-208","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","DS-208",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206107","SAMN02314417","GCA_000598505.1","SRR949842","JGDE00000000","IGS","WGS","Illumina","150x","MaSuRCA v. 2.0",,,271,5051299,43.6,26,56245,95,20,,4418,99.6,99.5,,100,,"stool",,,,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:23.165Z","2015-03-16T03:17:09.594Z"
"1339277.3","Bacteroides fragilis str. DS-71",,1339277,"131567;2;1783270;68336;976;200643;171549;815;816;817;1339277","cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;Bacteroides fragilis str. DS-71","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","WGS","DS-71",,,,,,,,,,,,,,,,," ",,,"Good","2014-03-20T00:00:00Z",,,"PRJNA206108","SAMN02314418","GCA_000599085.1","SRR949843","JGDF00000000","IGS","WGS","Illumina","150x","MaSuRCA v. 2.0",,,308,5038892,43.3,22,61167,88,24,,4265,99.6,99.5,,100,,"stool",,,,,"Bangladesh","Asia","Bangladesh",,"Human, Homo sapiens","Human",,,,"Human",,,,,"'Comparative genomics of human mucosal isolates of the enterotoxigenic Bacteroides fragilis group, etiologic agents of inflammatory diarrheal disease.'","2014-12-08T22:10:23.175Z","2015-03-16T03:17:09.594Z"
