Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1053687.3","Neisseria meningitidis NM220",,1053687,"131567;2;1224;28216;206351;481;482;487;1053687","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria meningitidis;Neisseria meningitidis NM220","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis","WGS","NM220",,,,"MLST.Neisseria_spp.23",,,,,,,,,,,,," ",,,"Good","2012-01-13T00:00:00Z","22558202",,"PRJNA68835","SAMN02471929","GCA_000242755.2",,"AGRR00000000","University of Pittsburgh School of Medicine","WGS",,,,,,339,2017695,51.9,57,10891,51,3,,2260,98.7,98.3,0.6,100,,"invasive disease case",,"1998",1998,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"This strain is part of a comparative analysis of serogroup Y ST-23 clonal complex strains.","2014-12-08T22:12:26.156Z","2015-03-16T03:17:09.594Z"
"1055328.3","Neisseria meningitidis NM233",,1055328,"131567;2;1224;28216;206351;481;482;487;1055328","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria meningitidis;Neisseria meningitidis NM233","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis","WGS","NM233",,,,,,,,,,,,,,,,," ",,,"Good","2012-01-13T00:00:00Z","22558202",,"PRJNA68845","SAMN02471928","GCA_000242735.2",,"AGRQ00000000","University of Pittsburgh School of Medicine","WGS",,,,,,314,2004707,51.5,46,12240,50,3,,2249,99,98.7,,100,,"invasive disease case",,"1998",1998,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"This is a serogroup Y ST-23 clonal complex strain. ","2014-12-08T22:12:26.175Z","2015-03-16T03:17:09.594Z"
"1069608.3","Neisseria meningitidis 93003",,1069608,"131567;2;1224;28216;206351;481;482;487;1069608","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria meningitidis;Neisseria meningitidis 93003","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis","WGS","93003",,,,"MLST.Neisseria_spp.4959",,,,,,,,,,,,,,,,"Good","2012-08-27T00:00:00Z",,,"PRJNA70991","SAMN00849774","GCA_000293265.1","SRR454967,SRR454968,SRR454969","ALXM00000000","Institute for Genome Sciences","WGS","Illumina; 454","75.82x","Celera Assembler v. 7.0",,,24,2238953,51.6,4,226404,67,20,,2895,99,98.7,0.6,100,,"blood",,"1993",1993,,"France","Europe","France",,"Human, Homo sapiens","Human",,,,"Human",,,,,"-","2014-12-08T22:12:25.583Z","2015-03-16T03:17:09.594Z"
"1069609.3","Neisseria meningitidis 93004",,1069609,"131567;2;1224;28216;206351;481;482;487;1069609","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria meningitidis;Neisseria meningitidis 93004","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis","WGS","93004",,,,"MLST.Neisseria_spp.5594",,,,,,,,,,,,,,,,"Good","2012-08-27T00:00:00Z",,,"PRJNA70993","SAMN00849775","GCA_000293245.1","SRR454970,SRR454971,SRR454972","ALXN00000000","Institute for Genome Sciences","WGS","Illumina; 454","54.45x","Celera Assembler v. 7.0",,,44,2336390,51.3,7,119897,67,24,,2990,99.3,98.9,,100,,"blood",,"1993",1993,,"France","Europe","France",,"Human, Homo sapiens","Human",,,,"Human",,,,,"-","2014-12-08T22:12:25.591Z","2015-03-16T03:17:09.594Z"
"1069610.3","Neisseria meningitidis NM255",,1069610,"131567;2;1224;28216;206351;481;482;487;1069610","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria meningitidis;Neisseria meningitidis NM255","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis","WGS","NM255",,,,"MLST.Neisseria_spp.2980",,,,,,,,,,,,,,,,"Good","2012-08-27T00:00:00Z",,,"PRJNA70995","SAMN00849781","GCA_000293285.1","SRR454981,SRR454982,SRR454983","ALXO00000000","Institute for Genome Sciences","WGS","Illumina; 454","63.7x","Celera Assembler v. 6.1",,,29,2196372,51.6,5,159016,65,22,,2820,99,98.7,,100,,"blood",,"2000",2000,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"-","2014-12-08T22:12:26.185Z","2015-03-16T03:17:09.594Z"
"1069611.3","Neisseria meningitidis NM140",,1069611,"131567;2;1224;28216;206351;481;482;487;1069611","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria meningitidis;Neisseria meningitidis NM140","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis","WGS","NM140",,,,"MLST.Neisseria_spp.2981",,,,,,,,,,,,,,,,"Good","2012-08-27T00:00:00Z",,,"PRJNA70997","SAMN00849779","GCA_000293305.1","SRR454975,SRR454976,SRR454977","ALXP00000000","Institute for Genome Sciences","WGS","Illumina; 454","46.42x","Celera Assembler v. 6.1",,,31,2164766,51.5,5,165930,59,13,,2862,99,98.7,,100,,"blood",,"1996",1996,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"-","2014-12-08T22:12:26.079Z","2015-03-16T03:17:09.594Z"
"1069612.3","Neisseria meningitidis NM183",,1069612,"131567;2;1224;28216;206351;481;482;487;1069612","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria meningitidis;Neisseria meningitidis NM183","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis","WGS","NM183",,,,"MLST.Neisseria_spp.5467",,,,,,,,,,,,,,,,"Good","2012-08-27T00:00:00Z",,,"PRJNA70999","SAMN00849780","GCA_000293325.1","SRR454978,SRR454979,SRR454980","ALXQ00000000","Institute for Genome Sciences","WGS","Illumina; 454","36.23x","Celera Assembler v. 6.1",,,27,2189086,51.5,5,188980,67,24,,2841,99,98.8,,100,,"blood",,"1998",1998,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"-","2014-12-08T22:12:26.146Z","2015-03-16T03:17:09.594Z"
"1069613.3","Neisseria meningitidis NM2781",,1069613,"131567;2;1224;28216;206351;481;482;487;1069613","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria meningitidis;Neisseria meningitidis NM2781","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis","WGS","NM2781",,,,"MLST.Neisseria_spp.6937",,,,,,,,,,,,,,,,"Good","2012-08-27T00:00:00Z",,,"PRJNA71001","SAMN00849786","GCA_000293345.1","SRR454987,SRR454988,SRR454989","ALXR00000000","Institute for Genome Sciences","WGS","Illumina; 454","64.23x","Celera Assembler v. 6.1",,,20,2169720,51.5,4,215999,67,22,,2848,98.9,98.7,,100,,"blood",,"1998",1998,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"-","2014-12-08T22:12:26.221Z","2015-03-16T03:17:09.594Z"
"1069614.3","Neisseria meningitidis 69166",,1069614,"131567;2;1224;28216;206351;481;482;487;1069614","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria meningitidis;Neisseria meningitidis 69166","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis","WGS","69166",,,,"MLST.Neisseria_spp.1",,,,,,,,,,,,,,,,"Good","2012-08-27T00:00:00Z",,,"PRJNA71003","SAMN00849763","GCA_000293365.1","SRR454087,SRR454088,SRR454089","ALXS00000000","Institute for Genome Sciences","WGS","Illumina; 454","54.38x","Celera Assembler v. 7.0",,,25,2218697,51.7,4,160079,60,20,,2906,99.2,99,,100,,"blood",,"1969",1969,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"-","2014-12-08T22:12:25.435Z","2015-03-16T03:17:09.594Z"
"1069615.3","Neisseria meningitidis NM576",,1069615,"131567;2;1224;28216;206351;481;482;487;1069615","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria meningitidis;Neisseria meningitidis NM576","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis","WGS","NM576",,,,"MLST.Neisseria_spp.5467",,,,,,,,,,,,,,,,"Good","2012-08-27T00:00:00Z",,,"PRJNA71005","SAMN00849791","GCA_000293385.1","SRR455000,SRR455001,SRR455002","ALXT00000000","Institute for Genome Sciences","WGS","Illumina; 454","41.85x","Celera Assembler v. 6.1",,,27,2189753,51.5,6,125505,67,24,,2854,99,98.6,,100,,"blood",,"2003",2003,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"-","2014-12-08T22:12:26.519Z","2015-03-16T03:17:09.594Z"
