Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1035817.4","Bifidobacterium longum subsp. longum KACC 91563",,1035817,"131567;2;1783272;201174;1760;85004;31953;1678;216816;1679;1035817","cellular organisms;Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum;Bifidobacterium longum subsp. longum;Bifidobacterium longum subsp. longum KACC 91563","Bacteria","Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum","Complete","KACC 91563",,,,,,,,,,,,,,,,,,,,"Good","2011-06-28T00:00:00Z","21742881",,"PRJNA66401","SAMN02603656","GCA_000219455.1",,"CP002794,CP002795,CP002796","National Livestock Research Institute, RDA","Complete",,,,,2,3,2395764,59.82,1,2385301,56,9,,1967,99.6,99.2,,100,,,,,,,,,,,,,,,,,,,,,"-","2014-12-08T22:10:28.855Z","2015-03-16T03:17:09.594Z"
"1161743.3","Bifidobacterium longum subsp. longum 44B",,1161743,"131567;2;1783272;201174;1760;85004;31953;1678;216816;1679;1161743","cellular organisms;Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum;Bifidobacterium longum subsp. longum;Bifidobacterium longum subsp. longum 44B","Bacteria","Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum","WGS","44",,,,,,,,,,,,,,,,,,,,"Good","2012-05-04T00:00:00Z",,,"PRJNA89645","SAMN00829148","GCA_000261265.1","SRR446563","AJTM00000000","JCVI","WGS",,,,,,62,2559217,59.7,10,90207,78,3,,2169,99.6,99.1,,100,,,,,,,,,,,,,,,,,,,,,"-","2014-12-08T22:10:28.730Z","2015-03-16T03:17:09.594Z"
"1161744.3","Bifidobacterium longum subsp. longum 1-6B strain 6-Jan",,1161744,"131567;2;1783272;201174;1760;85004;31953;1678;216816;1679;1161744","cellular organisms;Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum;Bifidobacterium longum subsp. longum;Bifidobacterium longum subsp. longum 1-6B","Bacteria","Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum","WGS","6-Jan",,,,,,,,,,,,,,,,,,,,"Good","2012-05-04T00:00:00Z",,,"PRJNA89647","SAMN00829154","GCA_000261245.1","SRR446570","AJTF00000000","JCVI","WGS",,,,,,171,2686768,59.6,14,58499,84,8,,2268,99.7,99,,100,,,,,,,,,,,,,,,,,,,,,"-","2014-12-08T22:10:28.656Z","2015-03-16T03:17:09.594Z"
"1161745.3","Bifidobacterium longum subsp. longum 2-2B strain 2-Feb",,1161745,"131567;2;1783272;201174;1760;85004;31953;1678;216816;1679;1161745","cellular organisms;Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum;Bifidobacterium longum subsp. longum;Bifidobacterium longum subsp. longum 2-2B","Bacteria","Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum","WGS","2-Feb",,,,,,,,,,,,,,,,,,,,"Good","2012-05-04T00:00:00Z",,,"PRJNA89651","SAMN00829155","GCA_000261205.1","SRR446571","AJTJ00000000","JCVI","WGS",,,,,,141,2625697,59.7,17,39901,76,7,,2256,99.6,98.7,2.7,100,,,,,,,,,,,,,,,,,,,,,"-","2014-12-08T22:10:28.671Z","2015-03-16T03:17:09.594Z"
"1161904.3","Bifidobacterium longum subsp. longum 35B",,1161904,"131567;2;1783272;201174;1760;85004;31953;1678;216816;1679;1161904","cellular organisms;Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum;Bifidobacterium longum subsp. longum;Bifidobacterium longum subsp. longum 35B","Bacteria","Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum","WGS","35",,,,,,,,,,,,,,,,,,,,"Good","2012-05-04T00:00:00Z",,,"PRJNA89649","SAMN00829158","GCA_000261225.1","SRR446574","AJTI00000000","JCVI","WGS",,,,,,131,2514431,60.1,15,57033,58,7,,2138,99.3,98.5,,98.6,,,,,,,,,,,,,,,,,,,,,"-","2014-12-08T22:10:28.690Z","2015-03-16T03:17:09.594Z"
"1205679.3","Bifidobacterium longum subsp. longum CECT 7347",,1205679,"131567;2;1783272;201174;1760;85004;31953;1678;216816;1679;1205679","cellular organisms;Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum;Bifidobacterium longum subsp. longum;Bifidobacterium longum subsp. longum CECT 7347","Bacteria","Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum","WGS","CECT 7347",,,,,,,,,,,,,,,,,,,,"Good","2013-09-06T00:00:00Z",,,"PRJEB107","SAMEA3146249","GCF_001050555.1",,"CALH00000000","BIOPOLIS","WGS",,,,,,128,2327220,60.05,17,39694,56,2,,2113,99.8,98.4,5.2,100,,,,,,,,,,,,,,,,,,,,,"Genome sequence of Bifidobacterium longum ES1 CECT 7347","2016-01-17T16:12:36.360Z","2016-01-17T16:12:36.360Z"
"1266716.3","Bifidobacterium longum subsp. longum CMCC P0001",,1266716,"131567;2;1783272;201174;1760;85004;31953;1678;216816;1679;1266716","cellular organisms;Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum;Bifidobacterium longum subsp. longum;Bifidobacterium longum subsp. longum CMCC P0001","Bacteria","Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum","WGS","CMCC P0001",,,,,,,,,,,,,,,,,,,,"Good","2013-06-04T00:00:00Z",,,"PRJNA182967","SAMN02470970","GCA_000410595.1",,"APVE00000000","Shanghai Sine Pharmaceutical Co., Ltd.","WGS","Illumina Hiseq 2000","176x","SOAP denovo v. 1.05",,,135,2422681,59.7,23,34158,54,3,,2037,99.7,99.6,,100,,"the feces of healthy children and identified as Bifidobacterium longum subsp","isolated from the feces of healthy children and identified as Bifidobacterium longum subsp","1895",1895,,"China","Asia","China",,"Human, Homo sapiens","Human",,,,"Human",,,,,"A complete genome sequence of a bifidobacterium longum subsp. longum CMCC P0001. The bacterium strain was originally isolated from the feces of healthy children and identified as Bifidobacterium longum subsp. longum by National Institute for the Control of Pharmaceutical and Biological Products (NICPBP), China. The strain was initially deposited in China Center for Type Culture Collection (CCTCC) with registration number M98003 and it was designated as standard strain for probiotics production by China Medical Culture Collection Center (CMCC) with assigned number CMCC P0001 in 2011.","2014-12-08T22:10:28.773Z","2015-03-16T03:17:09.594Z"
"1280702.3","Bifidobacterium longum AGR2137",,1280702,"131567;2;1783272;201174;1760;85004;31953;1678;216816;1280702","cellular organisms;Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum;Bifidobacterium longum AGR2137","Bacteria","Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum","WGS","AGR2137",,,,,,,,,,,,,,,,,,,,"Good","2013-07-09T00:00:00Z",,,"PRJNA185722","SAMN02441228","GCA_000421385.1",,"ATWX00000000","DOE Joint Genome Institute","WGS","Illumina HiSeq 2000","Unknown","Unknown program v. before 2013-05-07",,,49,2270377,59.9,8,79605,61,5,,1958,99.6,99.3,1.4,100,,,,,,,,,,,,,,,,,,,,,"The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.","2014-12-08T22:10:28.517Z","2015-03-16T03:17:09.594Z"
"1298922.3","Bifidobacterium longum D2957",,1298922,"131567;2;1783272;201174;1760;85004;31953;1678;216816;1298922","cellular organisms;Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum;Bifidobacterium longum D2957","Bacteria","Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum","WGS","D2957",,,,,,,,,,,,,,,,," ",,,"Good","2013-06-17T00:00:00Z",,,"PRJNA191039","SAMN02472064","GCA_000478525.1",,"AQGL00000000","Utah State University","WGS","454","35.0x","Newbler v. 5-9-2011",,,13,2330229,60.4,3,423575,76,10,,1985,99.7,99,2.7,100,,,,,,,,,,,,,,,,,,,,,"Gut probiotic used for stress response studies and genome comparison.","2014-12-08T22:10:28.528Z","2015-03-16T03:17:09.594Z"
"1300227.3","Bifidobacterium longum subsp. longum GT15",,1300227,"131567;2;1783272;201174;1760;85004;31953;1678;216816;1679;1300227","cellular organisms;Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum;Bifidobacterium longum subsp. longum;Bifidobacterium longum subsp. longum GT15","Bacteria","Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum","Complete","GT15",,,,,,,,,,,,,,,,,,,,"Good","2014-11-05T00:00:00Z","25523785",,"PRJNA191592","SAMN03093230","GCA_000772485.1",,"CP006741.1","Vavilov Institute of General Genetics","Complete","454","20x","454 GS De Novo Assembler v. version",,,1,2337521,59.97,1,2337521,56,14,,1952,99.8,99.5,1.4,100,,"the gastrointestinal tract (GIT) of a healthy adult from Central region of Russia","isolated in 2011 from the gastrointestinal tract (GIT) of a healthy adult from Central region of Russia","2011",2011,,"Russia","Europe","Russia: Central region",,,,,,,,,,,,"Bifidobacteria are an important component of the human intestinal microbiota. The objective is to obtain the complete genome sequence and annotation of strain B. longum subsp. longum GT15, isolated in 2011 from the gastrointestinal tract (GIT) of a healthy adult from Central region of Russia. The complete genome sequence of this strain, will be used as pharmaceutical product, because a lot of probiotic genes were found in this strain. This is the first strain isolated from the microbiota of the Russian human.","2015-03-12T13:41:26.351Z","2015-03-16T03:17:09.594Z"
