Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1017264.3","Bordetella pertussis CS",,1017264,"131567;2;1224;28216;80840;506;517;520;1017264","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis;Bordetella pertussis CS","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella pertussis","Complete","Cs",,,,"MLST.Bordetella_spp.1",,,,,,,,,,,,,,,,"Good","2011-05-10T00:00:00Z",,,"PRJNA66287","SAMN02603647","GCA_000212975.1",,"CP002695","National Institute for the Control of Pharmaceutical and Biological Products","Complete",,,,,,1,4124236,67.73,1,4124236,51,9,,4080,99.2,98.2,,100,,,,,,,,,,,,,,,,,,,,,"-","2014-12-08T22:10:30.980Z","2015-03-16T03:17:09.594Z"
"1017264.6","Bordetella pertussis CS",,1017264,"131567;2;1224;28216;80840;506;517;520;1017264","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis;Bordetella pertussis CS","Bacteria",,"Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella pertussis","Complete","CS",,,,"MLST.Bordetella_spp.1",,,,,,,,,,,,,,,,"Good","2022-05-31T00:00:00Z",,,"PRJNA777368","SAMN22851881","GCA_023612135.1",,"CP086368",,"Complete","PacBio Sequel","295.0x","SMRT Link v. v5.0.1",,,1,4141631,67.71542,1,4141631,50,9,,4087,99.2,97.8,0.1,100,,"nasal pharynx",,"1951",1951,,"China","Asia","China",,"Homo sapiens","Human",,,"pertussis","Human",,,,"collected_by:China Institue for Food and Drug Control",,"2022-06-23T16:34:00.252Z","2022-06-23T16:34:00.252Z"
"1216981.3","Bordetella pertussis NBRC 107857",,1216981,"131567;2;1224;28216;80840;506;517;520;1216981","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis;Bordetella pertussis NBRC 107857","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella pertussis","WGS","NBRC 107857",,,,"MLST.Bordetella_spp.24",,,,,,,,,,,,,"NBRC:107857",,,"Good","2016-03-11T00:00:00Z",,,"PRJDB243","SAMD00046894","GCF_001598615.1",,"BCZH00000000","National Institute of Technology and Evaluation","WGS","454 GS-FLX Titanium; Illumina HiSeq","144x","newbler v. 3.0",,,366,3779280,68.02,79,15308,45,4,,3830,99.5,97,1.9,98.1,,,,,,,,,,,,,,,,,,,,,"The NBRC Whole Genome Shotgun Project aims to provide 'reference genomes' of NBRC culture collection strains for identifying useful genes for taxonomic classification, risk/safety assessment, and industrial application, and for understanding the structure and evolution of microbial genomes. One of our goals is to sequence 2,000 representative strains in the NBRC culture collection. The sequence information will be released to the society through the NBRC web site (http://www.bio.nite.go.jp/ngac/e/project_wgs-e.html) and DDBJ/EMBL/GeneBank databases.","2016-04-27T20:34:35.106Z","2016-04-27T20:34:35.106Z"
"1331247.3","Bordetella bronchiseptica 2250905",,1331247,"131567;2;1224;28216;80840;506;517;520;1331247","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis;Bordetella pertussis 2250905","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella pertussis","WGS","2250905",,,,"MLST.Bordetella_spp.2",,,,,,,,,,,,," ",,,"Good","2013-10-24T00:00:00Z","24356839",,"PRJNA202190","SAMN02436302","GCA_000479635.1",,"AXSU00000000","JCVI","WGS","Illumina","85.02x","Celera v. 7.0",,,285,3940180,67.8,62,20908,45,7,,4044,99,97.8,,100,,,"part of 28 B. pertussis strains isolated during outbreaks from 2010 through 2012",,,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"In order to understand the speciation and evolution of the Bordetellae, and the adaptation of multiple lineages to infect humans, we propose to sequence several strains of B. bronchiseptica, B. parapertussis and B. pertussis","2014-12-08T22:10:30.153Z","2015-03-16T03:17:09.594Z"
"1331248.4","Bordetella pertussis 2356847",,1331248,"131567;2;1224;28216;80840;506;517;520;1331248","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis;Bordetella pertussis 2356847","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella pertussis","WGS","2356847",,,,"MLST.Bordetella_spp.2",,,,,,,,,,,,,,,,"Good","2013-12-13T00:00:00Z","24356839",,"PRJNA202191","SAMN02436301","GCF_000479655.1",,"AXST00000000","JCVI","WGS","Illumina HiSeq 2000","88x","Velvet v. 2.2",,,179,3907019,67.86,36,31198,44,3,,3885,99.3,98.2,,100,,,,,,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"In order to understand the speciation and evolution of the Bordetellae, and the adaptation of multiple lineages to infect humans, we propose to sequence several strains of B. bronchiseptica, B. parapertussis and B. pertussis","2016-01-17T15:33:35.951Z","2016-01-17T15:33:35.951Z"
"1331249.3","Bordetella bronchiseptica 2371640",,1331249,"131567;2;1224;28216;80840;506;517;520;1331249","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis;Bordetella pertussis 2371640","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella pertussis","WGS","2371640",,,,"MLST.Bordetella_spp.2",,,,,,,,,,,,," ",,,"Good","2013-10-24T00:00:00Z","24356839",,"PRJNA202192","SAMN02436204","GCA_000479735.1",,"AXSS00000000","JCVI","WGS","Illumina","51.99x","Velvet v. 2.2",,,193,3904605,67.9,40,33462,46,3,,3853,99.2,97.2,1.2,98.8,,,"part of 28 B. pertussis strains isolated during outbreaks from 2010 through 2012",,,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"In order to understand the speciation and evolution of the Bordetellae, and the adaptation of multiple lineages to infect humans, we propose to sequence several strains of B. bronchiseptica, B. parapertussis and B. pertussis","2014-12-08T22:10:30.172Z","2015-03-16T03:17:09.594Z"
"1331252.3","Bordetella bronchiseptica SEAT0006",,1331252,"131567;2;1224;28216;80840;506;517;520;1331252","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis;Bordetella pertussis STO1-SEAT-0006","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella pertussis","WGS","STO1-SEAT-0006",,,,"MLST.Bordetella_spp.2",,,,,,,,,,,,," ",,,"Good","2013-10-24T00:00:00Z","24356839",,"PRJNA202195","SAMN02436249","GCA_000479715.1",,"AXSR00000000","JCVI","WGS","Illumina","84.54x","Celera v. 7.0",,,49,4028419,67.8,9,139362,45,3,,4052,99.1,98,,100,,,"part of 28 B. pertussis strains isolated during outbreaks from 2010 through 2012","2010",2010,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"In order to understand the speciation and evolution of the Bordetellae, and the adaptation of multiple lineages to infect humans, we propose to sequence several strains of B. bronchiseptica, B. parapertussis and B. pertussis","2014-12-08T22:10:30.289Z","2015-03-16T03:17:09.594Z"
"1331253.3","Bordetella bronchiseptica SEAT0007",,1331253,"131567;2;1224;28216;80840;506;517;520;1331253","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis;Bordetella pertussis STO1-SEAT-0007","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella pertussis","WGS","STO1-SEAT-0007",,,,"MLST.Bordetella_spp.2",,,,,,,,,,,,," ",,,"Good","2013-10-24T00:00:00Z","24356839",,"PRJNA202196","SAMN02436248","GCA_000479675.1",,"AXSQ00000000","JCVI","WGS","Illumina","58.47x","Velvet v. 2.2",,,26,4053851,67.8,4,343155,46,3,,4073,99.1,97.9,,100,,,"part of 28 B. pertussis strains isolated during outbreaks from 2010 through 2012","2010",2010,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"In order to understand the speciation and evolution of the Bordetellae, and the adaptation of multiple lineages to infect humans, we propose to sequence several strains of B. bronchiseptica, B. parapertussis and B. pertussis","2014-12-08T22:10:30.317Z","2015-03-16T03:17:09.594Z"
"1331263.3","Bordetella pertussis Bp CHLA 0011",,1331263,"131567;2;1224;28216;80840;506;517;520;1331263","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis;Bordetella pertussis STO1-CHLA-0011","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella pertussis","WGS","STO1-CHLA-0011",,,,"MLST.Bordetella_spp.2",,,,,,,,,,,,," ",,,"Good","2013-10-24T00:00:00Z","24356839",,"PRJNA202166","SAMN02436300","GCA_000479695.1",,"AXSP00000000","JCVI","WGS","Illumina","96.91x","Celera v. 7.0",,,25,4083349,67.7,4,419274,55,15,,4134,99.1,97.9,0.3,100,,,"part of 28 B. pertussis strains isolated during outbreaks from 2010 through 2012","2010",2010,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"In order to understand the speciation and evolution of the Bordetellae, and the adaptation of multiple lineages to infect humans, we propose to sequence several strains of B. bronchiseptica, B. parapertussis and B. pertussis","2014-12-08T22:10:30.603Z","2015-03-16T03:17:09.594Z"
"1331264.3","Bordetella pertussis Bp H897",,1331264,"131567;2;1224;28216;80840;506;517;520;1331264","cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis;Bordetella pertussis H897","Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella pertussis","WGS","H897",,,,"MLST.Bordetella_spp.2",,,,,,,,,,,,," ",,,"Good","2013-10-24T00:00:00Z","24356839",,"PRJNA202167","SAMN02436247","GCA_000479455.1",,"AXSO00000000","JCVI","WGS","Illumina","74.94x","Celera v. 7.0",,,173,3938674,67.8,36,36602,43,2,,3996,99,97.8,0.6,100,,,"part of 28 B. pertussis strains isolated during outbreaks from 2010 through 2012","2012",2012,,"USA",,"United States",,"Human, Homo sapiens","Human",,,,"Human",,,,,"In order to understand the speciation and evolution of the Bordetellae, and the adaptation of multiple lineages to infect humans, we propose to sequence several strains of B. bronchiseptica, B. parapertussis and B. pertussis","2014-12-08T22:10:30.613Z","2015-03-16T03:17:09.594Z"
